pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
VOC,ALD2,0.000143,44.03499,Mg,mol/s
VOC,ALDX,0.000184,39.22808,Mg,mol/s
VOC,BENZENE,0.006825,78.112,Mg,mol/s
VOC,ETH,0.000837,28.053,Mg,mol/s
VOC,ETHA,0.184221,30.069,Mg,mol/s
VOC,ETOH,0.019059,45.8447,Mg,mol/s
VOC,FORM,0.000616,30.026,Mg,mol/s
VOC,IOLE,0.002545,57.09965,Mg,mol/s
VOC,ISOP,0.000017,68.117,Mg,mol/s
VOC,MEOH,0.016897,32.042,Mg,mol/s
VOC,NVOL,0.002593,0.992943,Mg,mol/s
VOC,OLE,0.003915,29.63422,Mg,mol/s
VOC,PAR,0.519857,15.11587,Mg,mol/s
VOC,TERP,0.007598,136.2352,Mg,mol/s
VOC,TOL,0.042446,96.79334,Mg,mol/s
VOC,UNR,0.162082,19.08899,Mg,mol/s
VOC,XYL,0.030165,109.2713,Mg,mol/s
PM25,PAL,3.08E-02,1,Mg,g/s
PM25,PCA,0.04692,1,Mg,g/s
PM25,PCL,0.005623,1,Mg,g/s
PM25,PFE,2.98E-02,1,Mg,g/s
PM25,PH2O,7.78E-03,1,Mg,g/s
PM25,PK,0.020635,1,Mg,g/s
PM25,PMG,1.49E-03,1,Mg,g/s
PM25,PMN,1.37E-03,1,Mg,g/s
PM25,PMOTHR,0.569705,1,Mg,g/s
PM25,PNA,1.05E-02,1,Mg,g/s
PM25,PNCOM,0.078912,1,Mg,g/s
PM25,PNH4,0.001819,1,Mg,g/s
PM25,PNO3,0.004444,1,Mg,g/s
PM25,PSI,0.089135,1,Mg,g/s
PM25,PSO4,0.096941,1,Mg,g/s
PM25,PTI,4.11E-03,1,Mg,g/s
SO2,SO2,1,64,Mg,mol/s
SO2,SULF,0.00919,98,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
CO,CO,1,28,Mg,mol/s
PMC,PMC,1,1,Mg,g/s
NOx,NO,0.9,30,Mg,mol/s
NOx,NO2,0.092,46,Mg,mol/s
NOx,HONO,0.008,47,Mg,mol/s
OC,POC,1,1,Mg,g/s
